ppd_id,fy,EEGroupID,TierID,source_ActCosts,notes_ActCosts,ContributionFY,NormCostRate_tot,NormCostRate_EE,NormCostRate_ER,ReqContRate_ER,ReqContRate_tot,NormCostAmount_tot,NormCostAmount_EE,NormCostAmount_ER,ReqContAmount_ER,ReqContAmount_tot,NormCostRate_tot_est,NormCostRate_EE_est,NormCostRate_ER_est,ReqContRate_ER_est,ProjectedPayroll
5,2013,0,0,,,2015,.20200001,.076499999,.12550001,.31029999,.38679999,,,,,,0,0,0,0,
5,2014,0,0,,,2016,.2005,.076499999,.124,.41080001,.48730001,,,,,,0,0,0,0,
5,2015,0,0,,,2017,.1989,.076499999,.1224,.42360002,.50009996,,,,,,0,0,0,0,
5,2016,0,0,,,2018,.23809999,.076499999,.16159999,.51840001,.59490001,,,,,,0,0,0,0,
6,2001,0,0,,,2003,.1035,.038599998,.064899996,.024600001,.063200004,,,,,,0,0,0,0,
6,2002,0,0,,,2004,.108,.051999997,.055999998,.040999997,.093000002,,,,,,0,0,0,0,
6,2003,0,0,,,2005,.1186,.069600001,.049000002,.0579,.1275,,,,,,0,0,0,0,
6,2004,0,0,,,2006,.1188,.077500001,.041300002,.066100001,.1436,,,,,,0,0,0,0,
6,2005,0,0,,,2007,.1208,.086999997,.033800002,.076200001,.16319999,,,,,,0,0,0,0,
6,2006,0,0,,,2008,.1236,.091000006,.032600001,.080499999,.1715,,,,,,0,0,0,0,
6,2007,0,0,,,2009,.1197,.089499995,.030199999,.079899997,.16940001,,,,,,0,0,0,0,
6,2008,0,0,,,2010,.1224,.090000004,.032400001,.083400004,.1734,,,,,,0,0,0,0,
6,2009,0,0,,,2011,.1239,.096000001,.027899999,.090100005,.18610001,,,,,,0,0,0,0,
6,2010,0,0,,,2012,.127,.105,.022,.098700002,.20370001,,,,,,0,0,0,0,
6,2011,0,0,,,2013,.1269,.1155,.0114,.096000001,.21149999,,,,,,0,0,0,0,
6,2012,0,0,,,2014,.1293,.1145,.0148,.105,.21950001,,,,,,0,0,0,0,
