ppd_id,fy,EEGroupID,TierID,source_membership,notes_membership,beneficiaries_DisabilityRetirees,beneficiaries_DependentSurvivors,actives_tot,ActiveSalaries,ActiveAge_avg,ActiveTenure_avg,ActiveSalary_avg,InactiveVestedMembers,InactiveNonVested,beneficiaries_tot,benefits_tot,BeneficiaryAge_avg,BeneficiaryBenefit_avg,beneficiaries_ServiceRetirees,benefits_ServiceRetirees,ServiceRetireeAge_avg,ServiceRetireeBenefit_avg,ServiceRetAge_avg,ServiceRetTenure_avg,ServiceRetBenefit_avg,benefits_DisabilityRetirees,beneficiaries_survivors,beneficiaries_SpousalSurvivors,beneficiaries_other,DROPMembers,OtherMembers,TotMembership,ActiveSalary_avg_est,BeneficiaryBenefit_avg_est
168,2005,0,0,,,215,,1455,91514.711,,,62.896709,25,,1718,64210.633,,37.375221,1503,,,,,,,,,,0,,,3198,1,1
168,2006,0,0,,,209,,1485,90363.953,,,60.851147,22,,1779,70820.703,,39.809277,1570,,,,,,,,,,0,,,3286,1,1
168,2007,0,0,,,209,,1463,103630.39,,,70.834167,22,,1842,75223.305,,40.837841,1633,,,,,,,,,,0,,,3327,1,1
168,2008,0,0,,,204,,1633,129369.53,,,79.222,23,,1847,77109.461,,41.748489,1643,,,,,,,,,,0,,,3503,1,1
168,2009,0,0,,,196,,1517,122212.34,,,80.561859,20,,2195,90049.852,,41.02499,1758,,,,,,,,,,241,241,,3732,1,1
168,2010,0,0,,,186,,1277,80152.352,,,62.766132,16,,2797,121054.71,,43.280197,2062,,,,,,,,,,549,549,,4090,1,1
168,2011,0,0,,,178,,1196,82164.617,,,68.699516,18,,2748,123254.91,,44.852589,2089,,,,,,,,,,481,481,,3962,1,1
168,2012,0,0,,,170,,1236,82206.359,,,66.510002,14,,2271,89223.047,,39.287498,2101,,,,,,,,,,0,,,3521,1,0
168,2013,0,0,,,161,,1273,85222.844,,,66.946457,13,,2754,156563.64,,56.849545,2119,,,,,,,,,,474,474,,4040,1,1
168,2014,0,0,,,149,,1482,93705.766,,,63.229263,12,,2648,125307.28,,47.32148,2098,,,,,,,,,,401,401,,4142,1,1
